Paremeter1,Paremeter2,Paremeter3,Paremeter4,Paremeter5,Paremeter6,Paremeter7,Paremeter8,Paremeter9,Paremeter10,Paremeter11,Paremeter12,Paremeter13,Paremeter14,Paremeter15,Paremeter16,Paremeter17,Paremeter18,Paremeter19,Paremeter20,Paremeter21,Paremeter22,Paremeter23,Paremeter24,Paremeter25,Paremeter26,Paremeter27,Paremeter28,Paremeter29,Paremeter30,Paremeter31,Paremeter32,Paremeter33,Paremeter34,Paremeter35,Paremeter36,Paremeter37,Paremeter38,Paremeter39,Paremeter40,Paremeter41,Paremeter42,Paremeter43,Paremeter44,Paremeter45,Paremeter46,Paremeter47,Paremeter48,Paremeter49,Paremeter50,Paremeter51,Paremeter52,Paremeter53,Paremeter54,Paremeter55,Paremeter56,Paremeter57,Paremeter58,Paremeter59,Paremeter60,Paremeter61,Paremeter62,Paremeter63,Paremeter64,Paremeter65,Paremeter66,Paremeter67,Paremeter68,Paremeter69,Paremeter70,Paremeter71,Paremeter72,Paremeter73
183,userID,ID1410,Web,complete,insertValue,2019-02-21T10:58:29.173+11:00,Excel,complete,openFile,Sheet1,2019-02-21T10:58:30.538+11:00,data.xls,Web,complete,goToUrl,2019-02-21T10:58:36.241+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T10:58:54.073+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T10:59:03.090+11:00,confirm,Web,complete,clickButton,2019-02-21T10:59:15.159+11:00,Web,complete,waitResponse,2019-02-21T10:59:17.838+11:00,www.webpage.com/wrong,ID1410,userID,Web,complete,copy,2019-02-21T10:59:24.497+11:00,ID1410,newID,Web,complete,paste,2019-02-21T10:59:26.597+11:00,B3,Web,complete,clickButton,2019-02-21T10:59:27.957+11:00,paste,A,ID1410,Excel,23,complete,2019-02-21T10:59:30.433+11:00,copy,B,Melbourne 123,Excel,2,complete,2019-02-21T10:59:32.920+11:00,Area,Melbourne 123
184,userID,ID1846,Web,complete,insertValue,2019-02-21T10:59:50.502+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:00:05.315+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:00:08.485+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:00:22.704+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:00:25.301+11:00,confirm,Web,complete,clickButton,2019-02-21T11:00:39.933+11:00,Web,complete,waitResponse,2019-02-21T11:00:42.914+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:00:47.694+11:00,B2,Web,complete,clickButton,2019-02-21T11:00:52.108+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:00:54.608+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:00:59.208+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:01:01.076+11:00,copy,B,Melbourne 123,Excel
185,userID,ID284,Web,complete,insertValue,2019-02-21T11:01:21.925+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:01:25.037+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:01:27.367+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:01:36.897+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:01:54.861+11:00,confirm,Web,complete,clickButton,2019-02-21T11:01:58.088+11:00,Web,complete,waitResponse,2019-02-21T11:02:00.119+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:02:00.471+11:00,B2,Web,complete,clickButton,2019-02-21T11:02:05.690+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:02:07.474+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:02:10.764+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:02:13.785+11:00,copy,B,Melbourne 123,Excel
186,userID,ID94,Web,complete,insertValue,2019-02-21T11:02:31.838+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:02:45.536+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:02:49.666+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:02:56.558+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:02:59.942+11:00,confirm,Web,complete,clickButton,2019-02-21T11:03:11.469+11:00,Web,complete,waitResponse,2019-02-21T11:03:14.133+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:03:27.765+11:00,B2,Web,complete,clickButton,2019-02-21T11:03:29.806+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:03:33.704+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:03:36.922+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:03:39.162+11:00,copy,B,Melbourne 123,Excel
187,userID,ID1918,Web,complete,insertValue,2019-02-21T11:03:58.672+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:03:58.672+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:04:09.245+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:04:17.417+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:04:30.046+11:00,confirm,Web,complete,clickButton,2019-02-21T11:04:39.722+11:00,Web,complete,waitResponse,2019-02-21T11:04:43.216+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:04:55.601+11:00,B2,Web,complete,clickButton,2019-02-21T11:05:01.130+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:05:04.870+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:05:07.481+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:05:11.179+11:00,copy,B,Melbourne 123,Excel
188,userID,ID825,Web,complete,insertValue,2019-02-21T11:05:29.556+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:05:38.736+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:05:45.080+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:05:47.882+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:05:50.264+11:00,confirm,Web,complete,clickButton,2019-02-21T11:05:50.264+11:00,Web,complete,waitResponse,2019-02-21T11:05:54.537+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:06:10.099+11:00,B2,Web,complete,clickButton,2019-02-21T11:06:13.892+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:06:15.965+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:06:18.525+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:06:23.006+11:00,copy,B,Melbourne 123,Excel
189,userID,ID481,Web,complete,insertValue,2019-02-21T11:06:42.344+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:06:49.150+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:06:55.833+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:07:00.790+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:07:02.242+11:00,confirm,Web,complete,clickButton,2019-02-21T11:07:15.291+11:00,Web,complete,waitResponse,2019-02-21T11:07:19.238+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:07:26.082+11:00,B2,Web,complete,clickButton,2019-02-21T11:07:29.652+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:07:31.203+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:07:32.139+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:07:34.269+11:00,copy,B,Melbourne 123,Excel
190,userID,ID1273,Web,complete,insertValue,2019-02-21T11:07:57.011+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:07:57.011+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:08:02.798+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:08:02.798+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:08:10.117+11:00,confirm,Web,complete,clickButton,2019-02-21T11:08:21.214+11:00,Web,complete,waitResponse,2019-02-21T11:08:24.166+11:00,www.webpage.com/wrong,ID1273,userID,Web,complete,copy,2019-02-21T11:08:29.755+11:00,ID1273,newID,Web,complete,paste,2019-02-21T11:08:33.357+11:00,B3,Web,complete,clickButton,2019-02-21T11:08:36.822+11:00,paste,A,ID1273,Excel,40,complete,2019-02-21T11:08:39.479+11:00,copy,B,Melbourne 123,Excel,2,complete,2019-02-21T11:08:42.755+11:00,Area,Melbourne 123
191,userID,ID590,Web,complete,insertValue,2019-02-21T11:09:00.492+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:09:07.346+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:09:22.757+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:09:35+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:09:43.021+11:00,confirm,Web,complete,clickButton,2019-02-21T11:09:47.490+11:00,Web,complete,waitResponse,2019-02-21T11:09:50.314+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:09:59.757+11:00,B2,Web,complete,clickButton,2019-02-21T11:10:02.895+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:10:06.922+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:10:09.102+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:10:11.566+11:00,copy,B,Melbourne 123,Excel
192,userID,ID415,Web,complete,insertValue,2019-02-21T11:10:32.518+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:10:41.871+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:10:52.998+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:10:58.137+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:11:10.245+11:00,confirm,Web,complete,clickButton,2019-02-21T11:11:19.017+11:00,Web,complete,waitResponse,2019-02-21T11:11:21.736+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:11:24.613+11:00,B2,Web,complete,clickButton,2019-02-21T11:11:27.885+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:11:31.606+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:11:34.910+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:11:37.925+11:00,copy,B,Melbourne 123,Excel
193,userID,ID1712,Web,complete,insertValue,2019-02-21T11:11:57.346+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:12:05.539+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:12:08.011+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:12:19.149+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:12:32.548+11:00,confirm,Web,complete,clickButton,2019-02-21T11:12:40.546+11:00,Web,complete,waitResponse,2019-02-21T11:12:43.697+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:12:49.673+11:00,B2,Web,complete,clickButton,2019-02-21T11:12:52.151+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:12:55.109+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:12:58.237+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:13:01.374+11:00,copy,B,Melbourne 123,Excel
194,userID,ID355,Web,complete,insertValue,2019-02-21T11:13:22.539+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:13:23.477+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:13:27.222+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:13:39.781+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:13:49.943+11:00,confirm,Web,complete,clickButton,2019-02-21T11:13:59.935+11:00,Web,complete,waitResponse,2019-02-21T11:14:03.717+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:14:05.405+11:00,B2,Web,complete,clickButton,2019-02-21T11:14:09.185+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:14:12.353+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:14:14.550+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:14:16.459+11:00,copy,B,Melbourne 123,Excel
195,userID,ID292,Web,complete,insertValue,2019-02-21T11:14:33.674+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:14:41.844+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:14:48.754+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:14:54.600+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:15:04.420+11:00,confirm,Web,complete,clickButton,2019-02-21T11:15:20.171+11:00,Web,complete,waitResponse,2019-02-21T11:15:23.445+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:15:45.170+11:00,B2,Web,complete,clickButton,2019-02-21T11:15:47.614+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:15:49.970+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:15:53.228+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:15:56.467+11:00,copy,B,Melbourne 123,Excel
196,userID,ID943,Web,complete,insertValue,2019-02-21T11:16:15.657+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:16:29.849+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:16:31.754+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:16:43.588+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:16:50.878+11:00,confirm,Web,complete,clickButton,2019-02-21T11:16:55.081+11:00,Web,complete,waitResponse,2019-02-21T11:16:58.346+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:17:03.429+11:00,B2,Web,complete,clickButton,2019-02-21T11:17:06.197+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:17:08.707+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:17:10.351+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:17:14.161+11:00,copy,B,Melbourne 123,Excel
197,userID,ID1752,Web,complete,insertValue,2019-02-21T11:17:33.966+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:17:45.842+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:17:50.451+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:17:59.363+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:18:06.351+11:00,confirm,Web,complete,clickButton,2019-02-21T11:18:11.950+11:00,Web,complete,waitResponse,2019-02-21T11:18:15.596+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:18:25.382+11:00,B2,Web,complete,clickButton,2019-02-21T11:18:29.553+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:18:31.945+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:18:34.156+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:18:36.996+11:00,copy,B,Melbourne 123,Excel
198,userID,ID334,Web,complete,insertValue,2019-02-21T11:18:57.579+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:19:07.189+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:19:10.466+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:19:19.509+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:19:28.063+11:00,confirm,Web,complete,clickButton,2019-02-21T11:19:29.531+11:00,Web,complete,waitResponse,2019-02-21T11:19:31.284+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:19:43.428+11:00,B2,Web,complete,clickButton,2019-02-21T11:19:47.783+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:19:50.995+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:19:54.215+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:19:55.991+11:00,copy,B,Melbourne 123,Excel
199,userID,ID540,Web,complete,insertValue,2019-02-21T11:20:15.546+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:20:15.546+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:20:20.101+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:20:28.317+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:20:31.808+11:00,confirm,Web,complete,clickButton,2019-02-21T11:20:35.297+11:00,Web,complete,waitResponse,2019-02-21T11:20:38.065+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:20:48.029+11:00,B2,Web,complete,clickButton,2019-02-21T11:20:52.034+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:20:53.828+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:20:56.115+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:20:58.571+11:00,copy,B,Melbourne 123,Excel
200,userID,ID764,Web,complete,insertValue,2019-02-21T11:21:18.774+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:21:32.334+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:21:35.861+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:21:36.326+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:21:48.975+11:00,confirm,Web,complete,clickButton,2019-02-21T11:21:51.823+11:00,Web,complete,waitResponse,2019-02-21T11:21:55.075+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:21:59.998+11:00,B2,Web,complete,clickButton,2019-02-21T11:22:04.431+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:22:07.532+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:22:09.348+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:22:13.982+11:00,copy,B,Melbourne 123,Excel
201,userID,ID1593,Web,complete,insertValue,2019-02-21T11:22:33.915+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:22:52.675+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:23:05.853+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:23:07.670+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:23:13.785+11:00,confirm,Web,complete,clickButton,2019-02-21T11:23:24.348+11:00,Web,complete,waitResponse,2019-02-21T11:23:26.194+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:23:34.573+11:00,B2,Web,complete,clickButton,2019-02-21T11:23:37.903+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:23:40.138+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:23:42.017+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:23:45.853+11:00,copy,B,Melbourne 123,Excel
202,userID,ID1541,Web,complete,insertValue,2019-02-21T11:24:05.913+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:24:05.913+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:24:18.687+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:24:24.145+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:24:34.299+11:00,confirm,Web,complete,clickButton,2019-02-21T11:24:39.959+11:00,Web,complete,waitResponse,2019-02-21T11:24:42.759+11:00,www.webpage.com/wrong,ID1541,userID,Web,complete,copy,2019-02-21T11:24:50.511+11:00,ID1541,newID,Web,complete,paste,2019-02-21T11:24:54.332+11:00,B3,Web,complete,clickButton,2019-02-21T11:24:58.532+11:00,paste,A,ID1541,Excel,6,complete,2019-02-21T11:25:00.769+11:00,copy,B,Melbourne 123,Excel,2,complete,2019-02-21T11:25:04.064+11:00,Area,Melbourne 123
203,userID,ID879,Web,complete,insertValue,2019-02-21T11:25:18.086+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:25:28.470+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:25:29.230+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:25:39.061+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:25:47.118+11:00,confirm,Web,complete,clickButton,2019-02-21T11:25:59.469+11:00,Web,complete,waitResponse,2019-02-21T11:26:01.268+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:26:13.975+11:00,B2,Web,complete,clickButton,2019-02-21T11:26:18.821+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:26:21.734+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:26:26.558+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:26:27.789+11:00,copy,B,Melbourne 123,Excel
204,userID,ID822,Web,complete,insertValue,2019-02-21T11:26:47.748+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:26:54.474+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:27:01.580+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:27:14.816+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:27:17.394+11:00,confirm,Web,complete,clickButton,2019-02-21T11:27:27.207+11:00,Web,complete,waitResponse,2019-02-21T11:27:32.462+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:27:47.045+11:00,B2,Web,complete,clickButton,2019-02-21T11:27:49.396+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:27:52.032+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:27:54.742+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:27:56.414+11:00,copy,B,Melbourne 123,Excel
205,userID,ID593,Web,complete,insertValue,2019-02-21T11:28:15.721+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:28:21.364+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:28:34.010+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:28:42.564+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:28:47.066+11:00,confirm,Web,complete,clickButton,2019-02-21T11:29:05.864+11:00,Web,complete,waitResponse,2019-02-21T11:29:09.921+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:29:20.971+11:00,B2,Web,complete,clickButton,2019-02-21T11:29:23.067+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:29:27.419+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:29:30.249+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:29:34.293+11:00,copy,B,Melbourne 123,Excel
206,userID,ID423,Web,complete,insertValue,2019-02-21T11:29:51.686+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:29:57.935+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:29:57.935+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:30:02.164+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:30:12.687+11:00,confirm,Web,complete,clickButton,2019-02-21T11:30:16.574+11:00,Web,complete,waitResponse,2019-02-21T11:30:19.327+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:30:28.465+11:00,B2,Web,complete,clickButton,2019-02-21T11:30:31.985+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:30:34.193+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:30:36.265+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:30:39.851+11:00,copy,B,Melbourne 123,Excel
207,userID,ID362,Web,complete,insertValue,2019-02-21T11:30:57.029+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:31:07.878+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:31:13.499+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:31:20.333+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:31:20.333+11:00,confirm,Web,complete,clickButton,2019-02-21T11:31:25.404+11:00,Web,complete,waitResponse,2019-02-21T11:31:28.197+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:31:41.066+11:00,B2,Web,complete,clickButton,2019-02-21T11:31:43.360+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:31:45.163+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:31:46.506+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:31:48.052+11:00,copy,B,Melbourne 123,Excel
208,userID,ID15,Web,complete,insertValue,2019-02-21T11:32:07.018+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:32:14.890+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:32:35.396+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:32:36.555+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:32:38.264+11:00,confirm,Web,complete,clickButton,2019-02-21T11:32:52.793+11:00,Web,complete,waitResponse,2019-02-21T11:32:55.872+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:33:07.413+11:00,B2,Web,complete,clickButton,2019-02-21T11:33:10.406+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:33:11.997+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:33:15.201+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:33:17.290+11:00,copy,B,Melbourne 123,Excel
209,userID,ID1684,Web,complete,insertValue,2019-02-21T11:33:39.345+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:33:42.924+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:33:57.304+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:34:07.240+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:34:15.762+11:00,confirm,Web,complete,clickButton,2019-02-21T11:34:20.025+11:00,Web,complete,waitResponse,2019-02-21T11:34:23.290+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:34:35.618+11:00,B2,Web,complete,clickButton,2019-02-21T11:34:37.750+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:34:38.894+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:34:41.791+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:34:46.034+11:00,copy,B,Melbourne 123,Excel
210,userID,ID1337,Web,complete,insertValue,2019-02-21T11:35:04.486+11:00,Excel,complete,openFile,Sheet1,2019-02-21T11:35:13.558+11:00,data.xls,Web,complete,goToUrl,2019-02-21T11:35:24.373+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T11:35:36.785+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T11:35:45.157+11:00,confirm,Web,complete,clickButton,2019-02-21T11:35:52.542+11:00,Web,complete,waitResponse,2019-02-21T11:35:56.031+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T11:36:15.539+11:00,B2,Web,complete,clickButton,2019-02-21T11:36:17.834+11:00,Constant,182381,Web,complete,insertValue,2019-02-21T11:36:20.220+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T11:36:25.102+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-21T11:36:26.898+11:00,copy,B,Melbourne 123,Excel
