Paremeter1,Paremeter2,Paremeter3,Paremeter4,Paremeter5,Paremeter6,Paremeter7,Paremeter8,Paremeter9,Paremeter10,Paremeter11,Paremeter12,Paremeter13,Paremeter14,Paremeter15,Paremeter16,Paremeter17,Paremeter18,Paremeter19,Paremeter20,Paremeter21,Paremeter22,Paremeter23,Paremeter24,Paremeter25,Paremeter26,Paremeter27,Paremeter28,Paremeter29,Paremeter30,Paremeter31,Paremeter32,Paremeter33,Paremeter34,Paremeter35,Paremeter36,Paremeter37,Paremeter38,Paremeter39,Paremeter40,Paremeter41,Paremeter42,Paremeter43,Paremeter44,Paremeter45,Paremeter46,Paremeter47,Paremeter48,Paremeter49,Paremeter50,Paremeter51,Paremeter52,Paremeter53,Paremeter54,Paremeter55,Paremeter56,Paremeter57,Paremeter58,Paremeter59,Paremeter60,Paremeter61,Paremeter62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Excel,complete,openFile,Sheet1,2019-02-21T18:20:12.995+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:20:14.463+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:20:28.357+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:20:46.910+11:00,confirm,Web,complete,clickButton,2019-02-21T18:20:53.326+11:00,Web,complete,waitResponse,2019-02-21T18:20:57.888+11:00,www.webpage.com/error,Web,complete,goToUrl,2019-02-21T18:21:01.179+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:21:14.929+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:21:31.816+11:00,confirm,Web,complete,clickButton,2019-02-21T18:21:38.396+11:00,Web,complete,waitResponse,2019-02-21T18:21:40.758+11:00,www.webpage.com/ok,Button1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Excel,complete,openFile,Sheet1,2019-02-21T18:22:15.429+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:22:17.605+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:22:21.753+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:22:26.861+11:00,confirm,Web,complete,clickButton,2019-02-21T18:22:40.507+11:00,Web,complete,waitResponse,2019-02-21T18:22:42.180+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T18:22:49.499+11:00,B2,Web,complete,clickButton,2019-02-21T18:22:52.463+11:00,ID,182381,Web,complete,insertValue,2019-02-21T18:22:55.502+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T18:23:01.250+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Excel,complete,openFile,Sheet1,2019-02-21T18:23:23.603+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:23:30.826+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:23:47.107+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:23:50.964+11:00,confirm,Web,complete,clickButton,2019-02-21T18:23:57.368+11:00,Web,complete,waitResponse,2019-02-21T18:23:59.925+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T18:24:12.110+11:00,B2,Web,complete,clickButton,2019-02-21T18:24:15.154+11:00,ID,182381,Web,complete,insertValue,2019-02-21T18:24:17.146+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T18:24:18.646+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Excel,complete,openFile,Sheet1,2019-02-21T18:24:38.437+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:24:47.674+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:25:01.825+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:25:12.198+11:00,confirm,Web,complete,clickButton,2019-02-21T18:25:12.198+11:00,Web,complete,waitResponse,2019-02-21T18:25:14.501+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T18:25:23.328+11:00,B2,Web,complete,clickButton,2019-02-21T18:25:25.218+11:00,ID,182381,Web,complete,insertValue,2019-02-21T18:25:28.207+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T18:25:30.908+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Excel,complete,openFile,Sheet1,2019-02-21T18:25:52.460+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:25:57.890+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:26:03.430+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:26:18.146+11:00,confirm,Web,complete,clickButton,2019-02-21T18:26:29.836+11:00,Web,complete,waitResponse,2019-02-21T18:26:31.253+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T18:26:46.660+11:00,B2,Web,complete,clickButton,2019-02-21T18:26:50.417+11:00,ID,182381,Web,complete,insertValue,2019-02-21T18:26:54.305+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T18:26:57.964+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Excel,complete,openFile,Sheet1,2019-02-21T18:27:20.455+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:27:29.017+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:27:46.653+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:27:46.653+11:00,confirm,Web,complete,clickButton,2019-02-21T18:27:53.147+11:00,Web,complete,waitResponse,2019-02-21T18:27:57.206+11:00,www.webpage.com/wrong,insertValue,A,Wrong log-in,Excel,10,complete,2019-02-21T18:27:59.632+11:00,insertValue,B,Wrong log-in,Excel,10,complete,2019-02-21T18:28:03.612+11:00,insertValue,C,Wrong log-in,Excel,10,complete,2019-02-21T18:28:06.923+11:00,cancel,Web,complete,clickButton,2019-02-21T18:28:07.896+11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Excel,complete,openFile,Sheet1,2019-02-21T18:28:17.896+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:28:21.628+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:28:36.192+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:28:43.241+11:00,confirm,Web,complete,clickButton,2019-02-21T18:28:43.241+11:00,Web,complete,waitResponse,2019-02-21T18:28:44.364+11:00,www.webpage.com/error,Web,complete,goToUrl,2019-02-21T18:28:52.174+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:28:59.788+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:28:59.788+11:00,confirm,Web,complete,clickButton,2019-02-21T18:29:02.819+11:00,Web,complete,waitResponse,2019-02-21T18:29:06.146+11:00,www.webpage.com/error,Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Excel,complete,openFile,Sheet1,2019-02-21T18:30:22.919+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:30:23.441+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:30:33.594+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:30:40.273+11:00,confirm,Web,complete,clickButton,2019-02-21T18:30:47.691+11:00,Web,complete,waitResponse,2019-02-21T18:30:49.891+11:00,www.webpage.com/error,Web,complete,goToUrl,2019-02-21T18:30:55.455+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:31:03.343+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:31:21.780+11:00,confirm,Web,complete,clickButton,2019-02-21T18:31:30.732+11:00,Web,complete,waitResponse,2019-02-21T18:31:32.837+11:00,www.webpage.com/ok,Button1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Excel,complete,openFile,Sheet1,2019-02-21T18:32:14.345+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:32:24.757+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:32:35.458+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:32:49.753+11:00,confirm,Web,complete,clickButton,2019-02-21T18:32:51.251+11:00,Web,complete,waitResponse,2019-02-21T18:32:55.184+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T18:33:02.216+11:00,B2,Web,complete,clickButton,2019-02-21T18:33:05.341+11:00,ID,182381,Web,complete,insertValue,2019-02-21T18:33:07.467+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T18:33:10.981+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Excel,complete,openFile,Sheet1,2019-02-21T18:33:31.368+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:33:35.987+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:33:41.127+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:33:52.662+11:00,confirm,Web,complete,clickButton,2019-02-21T18:34:00.437+11:00,Web,complete,waitResponse,2019-02-21T18:34:03.552+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T18:34:04.962+11:00,B2,Web,complete,clickButton,2019-02-21T18:34:08.022+11:00,ID,182381,Web,complete,insertValue,2019-02-21T18:34:10.799+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T18:34:13.345+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Excel,complete,openFile,Sheet1,2019-02-21T18:34:33.990+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:34:39.156+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:34:44.222+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:34:52.591+11:00,confirm,Web,complete,clickButton,2019-02-21T18:34:58.490+11:00,Web,complete,waitResponse,2019-02-21T18:35:02.992+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T18:35:12.262+11:00,B2,Web,complete,clickButton,2019-02-21T18:35:15.318+11:00,ID,182381,Web,complete,insertValue,2019-02-21T18:35:17.441+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T18:35:20.184+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Excel,complete,openFile,Sheet1,2019-02-21T18:35:45.208+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:35:55.249+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:36:04.586+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:36:16.992+11:00,confirm,Web,complete,clickButton,2019-02-21T18:36:28.952+11:00,Web,complete,waitResponse,2019-02-21T18:36:32.356+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T18:36:47.049+11:00,B2,Web,complete,clickButton,2019-02-21T18:36:50.105+11:00,ID,182381,Web,complete,insertValue,2019-02-21T18:36:51.857+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T18:36:55.341+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Excel,complete,openFile,Sheet1,2019-02-21T18:37:14.973+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:37:29.188+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:37:39.724+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:37:41.812+11:00,confirm,Web,complete,clickButton,2019-02-21T18:37:57.603+11:00,Web,complete,waitResponse,2019-02-21T18:38:00.460+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T18:38:15.969+11:00,B2,Web,complete,clickButton,2019-02-21T18:38:17.875+11:00,ID,182381,Web,complete,insertValue,2019-02-21T18:38:20.336+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T18:38:22.013+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Excel,complete,openFile,Sheet1,2019-02-21T18:38:44.642+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:38:48.435+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:38:52.769+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:38:53.412+11:00,confirm,Web,complete,clickButton,2019-02-21T18:39:06.910+11:00,Web,complete,waitResponse,2019-02-21T18:39:09.868+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T18:39:15.714+11:00,B2,Web,complete,clickButton,2019-02-21T18:39:18.312+11:00,ID,182381,Web,complete,insertValue,2019-02-21T18:39:20.480+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T18:39:22.922+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Excel,complete,openFile,Sheet1,2019-02-21T18:39:41.142+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:39:48+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:40:01.043+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:40:14.046+11:00,confirm,Web,complete,clickButton,2019-02-21T18:40:19.352+11:00,Web,complete,waitResponse,2019-02-21T18:40:20.838+11:00,www.webpage.com/error,Web,complete,goToUrl,2019-02-21T18:40:28.948+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:40:41.994+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:40:48.871+11:00,confirm,Web,complete,clickButton,2019-02-21T18:41:06.561+11:00,Web,complete,waitResponse,2019-02-21T18:41:11.870+11:00,www.webpage.com/ok,Button1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Excel,complete,openFile,Sheet1,2019-02-21T18:41:46.036+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:41:48.912+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:41:56.903+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:42:05.608+11:00,confirm,Web,complete,clickButton,2019-02-21T18:42:09.016+11:00,Web,complete,waitResponse,2019-02-21T18:42:11.780+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T18:42:23.933+11:00,B2,Web,complete,clickButton,2019-02-21T18:42:26.561+11:00,ID,182381,Web,complete,insertValue,2019-02-21T18:42:30.023+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T18:42:31.998+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Excel,complete,openFile,Sheet1,2019-02-21T18:42:54.384+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:42:57.790+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:43:06.805+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:43:14.701+11:00,confirm,Web,complete,clickButton,2019-02-21T18:43:22.166+11:00,Web,complete,waitResponse,2019-02-21T18:43:25.979+11:00,www.webpage.com/wrong,insertValue,A,Wrong log-in,Excel,10,complete,2019-02-21T18:43:28.664+11:00,insertValue,B,Wrong log-in,Excel,10,complete,2019-02-21T18:43:33.099+11:00,insertValue,C,Wrong log-in,Excel,10,complete,2019-02-21T18:43:36.148+11:00,cancel,Web,complete,clickButton,2019-02-21T18:43:38.019+11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Excel,complete,openFile,Sheet1,2019-02-21T18:43:48.019+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:44:01.196+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:44:18.609+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:44:26.766+11:00,confirm,Web,complete,clickButton,2019-02-21T18:44:37.594+11:00,Web,complete,waitResponse,2019-02-21T18:44:41.494+11:00,www.webpage.com/error,Web,complete,goToUrl,2019-02-21T18:44:45.561+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:45:02.687+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:45:05.507+11:00,confirm,Web,complete,clickButton,2019-02-21T18:45:15.306+11:00,Web,complete,waitResponse,2019-02-21T18:45:18.095+11:00,www.webpage.com/ok,Button1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Excel,complete,openFile,Sheet1,2019-02-21T18:45:53.638+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:46:07.003+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:46:20.157+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:46:25.854+11:00,confirm,Web,complete,clickButton,2019-02-21T18:46:25.854+11:00,Web,complete,waitResponse,2019-02-21T18:46:29.098+11:00,www.webpage.com/wrong,insertValue,A,Wrong log-in,Excel,10,complete,2019-02-21T18:46:40.208+11:00,insertValue,B,Wrong log-in,Excel,10,complete,2019-02-21T18:46:42.295+11:00,insertValue,C,Wrong log-in,Excel,10,complete,2019-02-21T18:46:45.366+11:00,cancel,Web,complete,clickButton,2019-02-21T18:46:47.531+11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Excel,complete,openFile,Sheet1,2019-02-21T18:46:57.531+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:47:06.275+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:47:26.407+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:47:41.854+11:00,confirm,Web,complete,clickButton,2019-02-21T18:47:50.169+11:00,Web,complete,waitResponse,2019-02-21T18:47:52.262+11:00,www.webpage.com/wrong,insertValue,A,Wrong log-in,Excel,10,complete,2019-02-21T18:48:00.087+11:00,insertValue,B,Wrong log-in,Excel,10,complete,2019-02-21T18:48:04.662+11:00,insertValue,C,Wrong log-in,Excel,10,complete,2019-02-21T18:48:06.528+11:00,cancel,Web,complete,clickButton,2019-02-21T18:48:08.429+11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Excel,complete,openFile,Sheet1,2019-02-21T18:48:18.429+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:48:29.762+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:48:40.753+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:48:54.529+11:00,confirm,Web,complete,clickButton,2019-02-21T18:49:12.254+11:00,Web,complete,waitResponse,2019-02-21T18:49:14.024+11:00,www.webpage.com/wrong,insertValue,A,Wrong log-in,Excel,10,complete,2019-02-21T18:49:27.200+11:00,insertValue,B,Wrong log-in,Excel,10,complete,2019-02-21T18:49:31.844+11:00,insertValue,C,Wrong log-in,Excel,10,complete,2019-02-21T18:49:34.724+11:00,cancel,Web,complete,clickButton,2019-02-21T18:49:36.931+11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Excel,complete,openFile,Sheet1,2019-02-21T18:49:46.931+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:49:53.680+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:50:02.404+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:50:04.898+11:00,confirm,Web,complete,clickButton,2019-02-21T18:50:10.853+11:00,Web,complete,waitResponse,2019-02-21T18:50:14.753+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T18:50:19.163+11:00,B2,Web,complete,clickButton,2019-02-21T18:50:23.053+11:00,ID,182381,Web,complete,insertValue,2019-02-21T18:50:27.867+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T18:50:32.004+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Excel,complete,openFile,Sheet1,2019-02-21T18:50:54.657+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:51:02.494+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:51:12.232+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:51:20.342+11:00,confirm,Web,complete,clickButton,2019-02-21T18:51:20.664+11:00,Web,complete,waitResponse,2019-02-21T18:51:23.701+11:00,www.webpage.com/wrong,insertValue,A,Wrong log-in,Excel,10,complete,2019-02-21T18:51:39.255+11:00,insertValue,B,Wrong log-in,Excel,10,complete,2019-02-21T18:51:41.062+11:00,insertValue,C,Wrong log-in,Excel,10,complete,2019-02-21T18:51:43.010+11:00,cancel,Web,complete,clickButton,2019-02-21T18:51:45.724+11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Excel,complete,openFile,Sheet1,2019-02-21T18:51:55.724+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:52:02.131+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:52:08.486+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:52:20.033+11:00,confirm,Web,complete,clickButton,2019-02-21T18:52:20.778+11:00,Web,complete,waitResponse,2019-02-21T18:52:20.778+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T18:52:41.143+11:00,B2,Web,complete,clickButton,2019-02-21T18:52:44.951+11:00,ID,182381,Web,complete,insertValue,2019-02-21T18:52:47.206+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T18:52:49.854+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Excel,complete,openFile,Sheet1,2019-02-21T18:53:09.022+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:53:16.426+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:53:32.413+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:53:49.296+11:00,confirm,Web,complete,clickButton,2019-02-21T18:53:51.373+11:00,Web,complete,waitResponse,2019-02-21T18:53:54.248+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T18:54:05.739+11:00,B2,Web,complete,clickButton,2019-02-21T18:54:08.803+11:00,ID,182381,Web,complete,insertValue,2019-02-21T18:54:11.506+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T18:54:14.662+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Excel,complete,openFile,Sheet1,2019-02-21T18:54:36.180+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:54:42.277+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:54:59.705+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:55:11.601+11:00,confirm,Web,complete,clickButton,2019-02-21T18:55:24.040+11:00,Web,complete,waitResponse,2019-02-21T18:55:25.152+11:00,www.webpage.com/wrong,insertValue,A,Wrong log-in,Excel,10,complete,2019-02-21T18:55:25.289+11:00,insertValue,B,Wrong log-in,Excel,10,complete,2019-02-21T18:55:29.389+11:00,insertValue,C,Wrong log-in,Excel,10,complete,2019-02-21T18:55:33.727+11:00,cancel,Web,complete,clickButton,2019-02-21T18:55:34.921+11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Excel,complete,openFile,Sheet1,2019-02-21T18:55:44.921+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:55:50.414+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:56:07.361+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:56:12.776+11:00,confirm,Web,complete,clickButton,2019-02-21T18:56:21.689+11:00,Web,complete,waitResponse,2019-02-21T18:56:23.852+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T18:56:37.854+11:00,B2,Web,complete,clickButton,2019-02-21T18:56:40.407+11:00,ID,182381,Web,complete,insertValue,2019-02-21T18:56:43.342+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T18:56:46.709+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Excel,complete,openFile,Sheet1,2019-02-21T18:57:09.094+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:57:16.322+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:57:22.162+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:57:32.565+11:00,confirm,Web,complete,clickButton,2019-02-21T18:57:37.358+11:00,Web,complete,waitResponse,2019-02-21T18:57:40.743+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T18:57:51.361+11:00,B2,Web,complete,clickButton,2019-02-21T18:57:53.737+11:00,ID,182381,Web,complete,insertValue,2019-02-21T18:57:56.566+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T18:58:00.367+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Excel,complete,openFile,Sheet1,2019-02-21T18:58:22.753+11:00,data.xls,Web,complete,goToUrl,2019-02-21T18:58:34.589+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-21T18:58:44.764+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-21T18:58:55.221+11:00,confirm,Web,complete,clickButton,2019-02-21T18:58:59.415+11:00,Web,complete,waitResponse,2019-02-21T18:59:03.032+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-21T18:59:03.032+11:00,B2,Web,complete,clickButton,2019-02-21T18:59:04.931+11:00,ID,182381,Web,complete,insertValue,2019-02-21T18:59:08.083+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-21T18:59:11.159+11:00,Special code,Au 58124829 XT,Web,complete,paste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
