Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65,Parameter66,Parameter67
30,Excel,complete,openFile,Sheet1,2019-02-19T04:12:51.029+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:13:00.901+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:13:09.169+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:13:14.007+11:00,confirm,Web,complete,clickButton,2019-02-19T04:13:32.267+11:00,Web,complete,waitResponse,2019-02-19T04:13:34.297+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:13:48.625+11:00,B2,Web,complete,clickButton,2019-02-19T04:13:51.261+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:13:53.765+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:13:58.674+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:14:02.173+11:00,copy,B,Melbourne 123,Excel
31,Excel,complete,openFile,Sheet1,2019-02-19T04:14:18.931+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:14:24.405+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:14:29.404+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:14:41.898+11:00,confirm,Web,complete,clickButton,2019-02-19T04:14:50.117+11:00,Web,complete,waitResponse,2019-02-19T04:14:53.373+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:14:58.717+11:00,B2,Web,complete,clickButton,2019-02-19T04:15:02.036+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:15:05.776+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:15:08.483+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:15:11.710+11:00,copy,B,Melbourne 123,Excel
32,Excel,complete,openFile,Sheet1,2019-02-19T04:15:30.419+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:15:43.732+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:15:49.161+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:15:57.788+11:00,confirm,Web,complete,clickButton,2019-02-19T04:16:01.056+11:00,Web,complete,waitResponse,2019-02-19T04:16:04.075+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:16:11.906+11:00,B2,Web,complete,clickButton,2019-02-19T04:16:15.008+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:16:18.652+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:16:20.648+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:16:24.560+11:00,copy,B,Melbourne 123,Excel
33,Excel,complete,openFile,Sheet1,2019-02-19T04:16:41.064+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:16:52.604+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:17:01.288+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:17:13.949+11:00,confirm,Web,complete,clickButton,2019-02-19T04:17:31.621+11:00,Web,complete,waitResponse,2019-02-19T04:17:34.390+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:17:38.028+11:00,B2,Web,complete,clickButton,2019-02-19T04:17:41.339+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:17:43.493+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:17:46.267+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:17:48.501+11:00,copy,B,Melbourne 123,Excel
34,Excel,complete,openFile,Sheet1,2019-02-19T04:18:06.858+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:18:13.880+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:18:15.045+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:18:23.579+11:00,confirm,Web,complete,clickButton,2019-02-19T04:18:31.786+11:00,Web,complete,waitResponse,2019-02-19T04:18:32.809+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:18:51.696+11:00,B2,Web,complete,clickButton,2019-02-19T04:18:57.226+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:18:59.074+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:19:02.383+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:19:05.259+11:00,copy,B,Melbourne 123,Excel
35,Excel,complete,openFile,Sheet1,2019-02-19T04:19:24.908+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:19:40.094+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:19:49.257+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:19:59.672+11:00,confirm,Web,complete,clickButton,2019-02-19T04:19:59.672+11:00,Web,complete,waitResponse,2019-02-19T04:20:02.638+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:20:05.797+11:00,B2,Web,complete,clickButton,2019-02-19T04:20:07.824+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:20:10.096+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:20:11.694+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:20:15.580+11:00,copy,B,Melbourne 123,Excel
36,Excel,complete,openFile,Sheet1,2019-02-19T04:20:34.218+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:20:36.315+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:20:52.332+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:21:05.919+11:00,confirm,Web,complete,clickButton,2019-02-19T04:21:27.558+11:00,Web,complete,waitResponse,2019-02-19T04:21:30.127+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:21:36.659+11:00,B2,Web,complete,clickButton,2019-02-19T04:21:38.655+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:21:42.557+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:21:46.063+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:21:48.738+11:00,copy,B,Melbourne 123,Excel
37,Excel,complete,openFile,Sheet1,2019-02-19T04:22:06.722+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:22:08.191+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:22:19.073+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:22:22.467+11:00,confirm,Web,complete,clickButton,2019-02-19T04:22:36.811+11:00,Web,complete,waitResponse,2019-02-19T04:22:39.280+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:22:44.610+11:00,B2,Web,complete,clickButton,2019-02-19T04:22:47.615+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:22:48.755+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:22:51.754+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:22:52.529+11:00,copy,B,Melbourne 123,Excel
38,Excel,complete,openFile,Sheet1,2019-02-19T04:23:11.674+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:23:16.541+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:23:16.541+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:23:22.002+11:00,confirm,Web,complete,clickButton,2019-02-19T04:23:30.377+11:00,Web,complete,waitResponse,2019-02-19T04:23:35.041+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:23:46.007+11:00,B2,Web,complete,clickButton,2019-02-19T04:23:47.867+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:23:50.347+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:23:53.531+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:23:56.248+11:00,copy,B,Melbourne 123,Excel
39,Excel,complete,openFile,Sheet1,2019-02-19T04:24:16.802+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:24:24.893+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:24:31.631+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:24:39.812+11:00,confirm,Web,complete,clickButton,2019-02-19T04:24:48.235+11:00,Web,complete,waitResponse,2019-02-19T04:24:48.454+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:24:58.033+11:00,B2,Web,complete,clickButton,2019-02-19T04:25:01.495+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:25:02.410+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:25:04.291+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:25:07.355+11:00,copy,B,Melbourne 123,Excel
40,Excel,complete,openFile,Sheet1,2019-02-19T04:25:23.324+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:25:25.818+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:25:40.580+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:25:51.179+11:00,confirm,Web,complete,clickButton,2019-02-19T04:25:55.222+11:00,Web,complete,waitResponse,2019-02-19T04:25:59.022+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:26:09.753+11:00,B2,Web,complete,clickButton,2019-02-19T04:26:12.955+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:26:15.255+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:26:17.768+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:26:20.249+11:00,copy,B,Melbourne 123,Excel
41,Excel,complete,openFile,Sheet1,2019-02-19T04:26:40.033+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:26:47.202+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:26:59.494+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:27:00.276+11:00,confirm,Web,complete,clickButton,2019-02-19T04:27:20.747+11:00,Web,complete,waitResponse,2019-02-19T04:27:22.414+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:27:30.444+11:00,B2,Web,complete,clickButton,2019-02-19T04:27:33.866+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:27:37.311+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:27:40.264+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:27:44.244+11:00,copy,B,Melbourne 123,Excel
42,Excel,complete,openFile,Sheet1,2019-02-19T04:28:01.197+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:28:08.869+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:28:25.067+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:28:34.914+11:00,confirm,Web,complete,clickButton,2019-02-19T04:28:40.753+11:00,Web,complete,waitResponse,2019-02-19T04:28:44.412+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:28:57.058+11:00,B2,Web,complete,clickButton,2019-02-19T04:28:59.453+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:29:00.611+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:29:04.018+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:29:05.999+11:00,copy,B,Melbourne 123,Excel
43,Excel,complete,openFile,Sheet1,2019-02-19T04:29:23.794+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:29:37.653+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:29:50.379+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:29:54.544+11:00,confirm,Web,complete,clickButton,2019-02-19T04:30:03.877+11:00,Web,complete,waitResponse,2019-02-19T04:30:05.145+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:30:21.940+11:00,B2,Web,complete,clickButton,2019-02-19T04:30:25.326+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:30:29.065+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:30:32.014+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:30:35.755+11:00,copy,B,Melbourne 123,Excel
44,Excel,complete,openFile,Sheet1,2019-02-19T04:30:51.354+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:31:00.663+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:31:12.037+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:31:22.735+11:00,confirm,Web,complete,clickButton,2019-02-19T04:31:36.983+11:00,Web,complete,waitResponse,2019-02-19T04:31:39.165+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:31:44.014+11:00,B2,Web,complete,clickButton,2019-02-19T04:31:46.247+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:31:48.541+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:31:51.002+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:31:53.326+11:00,copy,B,Melbourne 123,Excel
45,Excel,complete,openFile,Sheet1,2019-02-19T04:32:09.082+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:32:19.878+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:32:26.683+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:32:31.938+11:00,confirm,Web,complete,clickButton,2019-02-19T04:32:39.303+11:00,Web,complete,waitResponse,2019-02-19T04:32:43.322+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:32:52.420+11:00,B2,Web,complete,clickButton,2019-02-19T04:32:55.387+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:32:57.938+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:33:01.874+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:33:05.218+11:00,copy,B,Melbourne 123,Excel
46,Excel,complete,openFile,Sheet1,2019-02-19T04:33:24.964+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:33:44.207+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:33:55.463+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:34:01.848+11:00,confirm,Web,complete,clickButton,2019-02-19T04:34:12.809+11:00,Web,complete,waitResponse,2019-02-19T04:34:16.512+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:34:16.512+11:00,B2,Web,complete,clickButton,2019-02-19T04:34:18.362+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:34:19.648+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:34:23.373+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:34:26.272+11:00,copy,B,Melbourne 123,Excel
47,Excel,complete,openFile,Sheet1,2019-02-19T04:34:44.235+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:34:53.592+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:34:58.559+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:34:59.460+11:00,confirm,Web,complete,clickButton,2019-02-19T04:35:16.269+11:00,Web,complete,waitResponse,2019-02-19T04:35:18.340+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:35:21.186+11:00,B2,Web,complete,clickButton,2019-02-19T04:35:23.861+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:35:27.360+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:35:29.952+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:35:33.871+11:00,copy,B,Melbourne 123,Excel
48,Excel,complete,openFile,Sheet1,2019-02-19T04:35:55.423+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:36:04+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:36:10.528+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:36:24.314+11:00,confirm,Web,complete,clickButton,2019-02-19T04:36:26.722+11:00,Web,complete,waitResponse,2019-02-19T04:36:29.115+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:36:37.640+11:00,B2,Web,complete,clickButton,2019-02-19T04:36:42.371+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:36:45.809+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:36:49.677+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:36:51.604+11:00,copy,B,Melbourne 123,Excel
49,Excel,complete,openFile,Sheet1,2019-02-19T04:37:12.599+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:37:13.503+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:37:17.180+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:37:31.251+11:00,confirm,Web,complete,clickButton,2019-02-19T04:37:33.201+11:00,Web,complete,waitResponse,2019-02-19T04:37:35.120+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:37:40.040+11:00,B2,Web,complete,clickButton,2019-02-19T04:37:42.370+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:37:44.759+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:37:47.587+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:37:50.246+11:00,copy,B,Melbourne 123,Excel
50,Excel,complete,openFile,Sheet1,2019-02-19T04:38:09.252+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:38:14.171+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:38:27.699+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:38:39.542+11:00,confirm,Web,complete,clickButton,2019-02-19T04:38:55.068+11:00,Web,complete,waitResponse,2019-02-19T04:38:57.008+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:39:07.694+11:00,B2,Web,complete,clickButton,2019-02-19T04:39:11.379+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:39:14.246+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:39:16.644+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:39:18.507+11:00,copy,B,Melbourne 123,Excel
51,Excel,complete,openFile,Sheet1,2019-02-19T04:39:38.186+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:39:44.919+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:39:50.940+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:40:05.426+11:00,confirm,Web,complete,clickButton,2019-02-19T04:40:13.978+11:00,Web,complete,waitResponse,2019-02-19T04:40:17.247+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:40:29.119+11:00,B2,Web,complete,clickButton,2019-02-19T04:40:33.228+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:40:34.321+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:40:37.577+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:40:40.480+11:00,copy,B,Melbourne 123,Excel
52,Excel,complete,openFile,Sheet1,2019-02-19T04:40:59.520+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:41:04.984+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:41:14.429+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:41:32.871+11:00,confirm,Web,complete,clickButton,2019-02-19T04:41:46.752+11:00,Web,complete,waitResponse,2019-02-19T04:41:51.268+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:41:52.256+11:00,B2,Web,complete,clickButton,2019-02-19T04:41:53.743+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:41:56.569+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:41:59.502+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:42:02.271+11:00,copy,B,Melbourne 123,Excel
53,Excel,complete,openFile,Sheet1,2019-02-19T04:42:21.663+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:42:32.445+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:42:36.980+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:42:50.260+11:00,confirm,Web,complete,clickButton,2019-02-19T04:43:01.141+11:00,Web,complete,waitResponse,2019-02-19T04:43:04.513+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:43:12.567+11:00,B2,Web,complete,clickButton,2019-02-19T04:43:15.294+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:43:16.986+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:43:19.892+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:43:23.012+11:00,copy,B,Melbourne 123,Excel
54,Excel,complete,openFile,Sheet1,2019-02-19T04:43:43.571+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:43:53.100+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:44:07.969+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:44:22.729+11:00,confirm,Web,complete,clickButton,2019-02-19T04:44:26.405+11:00,Web,complete,waitResponse,2019-02-19T04:44:30.443+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:44:32.893+11:00,B2,Web,complete,clickButton,2019-02-19T04:44:35.479+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:44:38.833+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:44:40.643+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:44:42.676+11:00,copy,B,Melbourne 123,Excel
55,Excel,complete,openFile,Sheet1,2019-02-19T04:45:01.076+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:45:21.312+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:45:26.629+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:45:37.004+11:00,confirm,Web,complete,clickButton,2019-02-19T04:45:40.058+11:00,Web,complete,waitResponse,2019-02-19T04:45:43.382+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:45:59.547+11:00,B2,Web,complete,clickButton,2019-02-19T04:46:01.217+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:46:05.127+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:46:07.093+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:46:08.539+11:00,copy,B,Melbourne 123,Excel
56,Excel,complete,openFile,Sheet1,2019-02-19T04:46:28.555+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:46:36.848+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:46:54.290+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:47:00.900+11:00,confirm,Web,complete,clickButton,2019-02-19T04:47:08.316+11:00,Web,complete,waitResponse,2019-02-19T04:47:10.723+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:47:13.222+11:00,B2,Web,complete,clickButton,2019-02-19T04:47:17.059+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:47:21.417+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:47:24.455+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:47:27.249+11:00,copy,B,Melbourne 123,Excel
57,Excel,complete,openFile,Sheet1,2019-02-19T04:47:46.676+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:47:55.725+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:48:02.206+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:48:15.301+11:00,confirm,Web,complete,clickButton,2019-02-19T04:48:26.795+11:00,Web,complete,waitResponse,2019-02-19T04:48:29.139+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:48:40.476+11:00,B2,Web,complete,clickButton,2019-02-19T04:48:42.645+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:48:46.804+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:48:50.670+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:48:53.155+11:00,copy,B,Melbourne 123,Excel
58,Excel,complete,openFile,Sheet1,2019-02-19T04:49:11.044+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:49:16.630+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:49:22.559+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:49:27.980+11:00,confirm,Web,complete,clickButton,2019-02-19T04:49:34.460+11:00,Web,complete,waitResponse,2019-02-19T04:49:36.134+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:49:49.738+11:00,B2,Web,complete,clickButton,2019-02-19T04:49:52.520+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:49:55.904+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:49:58.116+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:50:02.013+11:00,copy,B,Melbourne 123,Excel
59,Excel,complete,openFile,Sheet1,2019-02-19T04:50:22.292+11:00,data.xls,Web,complete,goToUrl,2019-02-19T04:50:30.117+11:00,www.webpage.com,username,Frank01,Web,complete,insertValue,2019-02-19T04:50:32.139+11:00,password,LittleFrank123,Web,complete,insertValue,2019-02-19T04:50:35.500+11:00,confirm,Web,complete,clickButton,2019-02-19T04:50:42.950+11:00,Web,complete,waitResponse,2019-02-19T04:50:45.634+11:00,www.webpage.com/ok,Button1,Web,complete,clickButton,2019-02-19T04:50:45.904+11:00,B2,Web,complete,clickButton,2019-02-19T04:50:48.342+11:00,ID,182381,Web,complete,insertValue,2019-02-19T04:50:52.894+11:00,copy,B,Au 58124829 XT,Excel,1,complete,2019-02-19T04:50:55.116+11:00,Special code,Au 58124829 XT,Web,complete,paste,2019-02-19T04:50:58.167+11:00,copy,B,Melbourne 123,Excel
